AX,AY,AZ,GX,GY,GZ,MX,MY,MZ
1.67,2.99,9.41,0.06,0.14,0.14,-3.6,-3.6,-3.6
1.66,2.98,9.38,0.18,0.28,0.13,-3.45,-3.45,-3.45
1.67,2.98,9.34,0.16,0.34,0.07,-3.9,-3.9,-3.9
1.67,2.97,9.36,0.41,0.31,0.09,-2.66,-2.66,-2.66
1.66,2.97,9.39,0.28,0.27,0.11,3.9,3.9,3.9
1.69,2.96,9.4,0.39,0.34,0.14,4.76,4.76,4.76
1.68,2.95,9.36,0.25,0.26,0.13,-2.62,-2.62,-2.62
1.67,2.96,9.37,0.27,0.18,0.08,-3.41,-3.41,-3.41
1.66,2.97,9.4,0.31,0.28,0,-3.78,-3.78,-3.78
1.67,2.95,9.41,0.39,0.28,0.02,-3.22,-3.22,-3.22
1.67,2.95,9.37,0.22,0.28,0.13,-3.7,-3.7,-3.7
1.66,2.98,9.36,0.28,0.29,0,-3,-3,-3
